coord_x,coord_y,collar,roots,tree_crown,trunk
1914186.69358,4224275.03519,0,1,1,0
1912600.38488,4222098.28634,1,0,0,0
1914402.66154,4224091.5696,0,0,1,0
1915322.21202,4224679.86992,0,0,1,0
1914626.25357,4223904.35615,0,0,1,0
1912687.84783,4222887.3017,0,0,1,0
1914017.06512,4222361.24244,0,0,0,1
1915539.35065,4224585.11806,0,0,1,0
1914295.40588,4224064.6757,0,0,1,0
1913808.29708,4223133.55819,0,0,1,0
1913321.32979,4224510.27221,0,0,0,1
1914710.84731,4221660.58151,0,0,0,1
1912694.54355,4222887.24134,0,0,0,1
1915194.05845,4222789.87763,0,0,1,0
1915132.8017,4222079.91638,0,0,1,1
1912627.97882,4221909.79148,1,0,1,1
1913341.51745,4224209.89366,0,0,1,0
1914742.85996,4225237.6803,0,0,1,0
1912522.92302,4223685.64204,0,0,1,0
1913524.44653,4225157.24901,1,1,1,1
1914804.48445,4225363.13135,1,1,1,0
1912532.00626,4223589.69765,0,0,0,1
1915138.87719,4221454.16772,0,0,1,0
1912585.9215,4221370.42468,0,0,0,1
1912436.35334,4222157.85378,0,0,1,0
1915279.4084,4223101.42138,0,1,1,0
1913646.64943,4223008.75676,0,0,1,0
1914569.55667,4222107.99736,1,0,0,0
1915546.42659,4224995.40517,0,0,1,0
1913996.07771,4221963.46899,1,0,0,0
1913059.29894,4225714.09643,0,0,0,1
1914421.3595,4223824.1786,0,1,0,0
1914693.89338,4225193.35357,0,0,1,0
1915153.82954,4225734.6928,0,0,1,0
1913745.61488,4225219.60769,0,0,1,0
1912699.686,4223197.07881,0,0,1,0
1915017.85975,4225600.52959,0,0,0,1
1914161.96244,4224742.10507,0,0,0,1
1913760.74609,4223632.25539,1,1,0,0
1915480.14229,4222685.91601,0,0,0,1
1914886.80448,4223884.74382,0,0,0,1
1914821.65914,4222271.31757,0,0,1,1
1914181.71648,4221773.45989,0,0,1,0
1914460.17925,4223968.3823,0,0,0,1
1912496.99578,4222617.62657,0,0,0,1
1912514.89163,4223536.80142,1,0,0,1
1913924.9906,4221681.99025,0,0,0,1
1916041.22038,4222649.00268,0,0,1,1
1913238.2476,4225047.12518,0,0,1,0
1915651.99897,4224251.13898,0,1,1,0
1913420.86304,4225307.77922,1,0,1,1
1913679.55523,4223230.89434,0,0,1,1
1914183.63215,4223080.72095,0,0,0,1
1915010.70966,4222923.04563,0,0,1,0
1914936.01404,4223682.71691,0,0,1,1
1913637.85687,4223239.71691,0,1,1,0
1914293.68217,4221780.04732,0,0,1,0
1915193.2412,4222832.819,1,1,0,1
1914501.87804,4221855.41848,0,1,0,1
1915193.82621,4225001.73639,0,0,1,0
1915108.85059,4222837.97273,0,0,1,0
1913113.87475,4222956.97638,0,0,0,1
1914618.46478,4221494.3265,0,0,0,1
1915309.59428,4224799.74084,1,0,1,0
1915834.91148,4223109.63131,0,0,1,0
1912485.33242,4222537.60922,1,0,0,1
1912948.22926,4224812.16386,0,0,1,0
1915361.90419,4222933.21815,0,0,0,1
1915684.83456,4225145.95071,0,0,1,0
1915040.68228,4224752.96634,0,0,1,1
1912892.88944,4221430.86892,0,0,1,0
1913090.64174,4224662.53273,0,0,1,1
1914466.13616,4224044.71579,0,0,1,0
1913823.93013,4223237.98889,0,0,1,0
1915045.26635,4222208.04631,0,0,1,0
1914271.88703,4224165.74425,0,0,1,0
1912386.18952,4221751.00688,1,0,0,1
1915493.76139,4223089.47272,0,0,1,0
1913664.91272,4225244.89246,1,0,0,1
1915440.98783,4223148.9111,1,0,0,1
1915110.20902,4224670.27548,0,0,1,1
1914272.16555,4224077.87224,0,0,1,0
1914506.38655,4221859.59026,0,0,1,0
1915448.96885,4224476.68079,0,0,1,0
1913804.84602,4223507.69091,0,0,0,1
1915387.4413,4224583.74982,0,0,1,0
1915166.414,4224853.09072,0,0,1,0
1914886.09496,4222467.6472,0,0,0,1
1915287.18071,4222329.89759,0,0,1,0
1914300.82894,4224993.28079,0,0,1,0
1912648.09127,4223171.63979,0,1,0,0
1914834.94643,4222071.62625,0,0,1,1
1914275.72605,4224087.31439,0,0,1,0
1915355.95865,4225145.65706,0,0,1,0
1915541.88567,4224645.732,0,0,0,1
1913838.90346,4224755.46748,0,1,0,1
1912522.62469,4222058.01576,0,0,1,1
1913883.69421,4223275.46328,0,0,1,1
1912956.34274,4224847.99125,0,0,1,0
1914482.07183,4224046.27781,0,0,0,1
1914184.3893,4222278.82365,0,0,1,0
1913755.2938,4223601.52688,0,0,0,1
1914260.34495,4222503.50451,0,0,0,1
1914710.79804,4225393.88194,0,0,1,0
1913749.78316,4225188.98788,0,0,1,1
1913679.9663,4223495.75231,0,1,0,0
1915148.45914,4222174.32735,0,0,1,1
1916240.31327,4223284.24267,0,0,1,0
1913214.77054,4224376.39286,0,0,1,0
1912665.03435,4223046.01649,0,0,1,0
1914299.01431,4224136.71364,0,1,1,1
1915311.1484,4221735.04345,0,0,1,1
1915086.21066,4222025.77251,1,0,0,0
1914218.55819,4223110.05193,0,0,1,0
1915278.24427,4225004.20095,0,0,1,0
1915080.85637,4224992.97846,0,0,1,0
1912604.85055,4222040.6101,0,0,1,0
1914135.17004,4223095.58465,0,0,1,0
1915823.42076,4223112.66279,1,0,0,0
1915003.24421,4222956.85327,0,0,0,1
1914670.66808,4221305.33443,0,0,1,0
1914822.44125,4223956.39845,0,0,1,0
1915295.88459,4222142.09379,0,0,1,0
1912634.44833,4221821.4115,0,0,1,0
1914906.36504,4225352.90779,0,0,1,0
